absolute_path,relative_path,keyword
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\собака\000001.jpg,собака\000001.jpg,собака
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\собака\000002.jpg,собака\000002.jpg,собака
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\собака\000003.jpg,собака\000003.jpg,собака
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\собака\000004.jpg,собака\000004.jpg,собака
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\собака\000005.jpg,собака\000005.jpg,собака
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000001.jpg,кошка\000001.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000002.jpg,кошка\000002.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000003.jpg,кошка\000003.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000004.jpg,кошка\000004.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000005.jpg,кошка\000005.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000006.jpg,кошка\000006.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000007.jpg,кошка\000007.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000008.jpg,кошка\000008.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000009.jpg,кошка\000009.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000010.jpg,кошка\000010.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000011.jpg,кошка\000011.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000012.jpg,кошка\000012.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000013.jpg,кошка\000013.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000014.jpg,кошка\000014.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000015.jpg,кошка\000015.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000016.jpg,кошка\000016.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000017.jpg,кошка\000017.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000018.jpg,кошка\000018.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000019.jpg,кошка\000019.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000020.jpg,кошка\000020.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000021.jpg,кошка\000021.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000022.jpg,кошка\000022.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000023.jpg,кошка\000023.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000024.jpg,кошка\000024.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000025.jpg,кошка\000025.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000026.jpg,кошка\000026.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000027.jpg,кошка\000027.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000028.jpg,кошка\000028.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000029.jpg,кошка\000029.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000030.jpg,кошка\000030.jpg,кошка
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000031.jpg,кошка\000031.jpg,кошка
