absolute_path,relative_path,keyword,brightness_range_r,brightness_range_g,brightness_range_b,total_brightness_range,sorted_index
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000030.jpg,кошка\000030.jpg,кошка,237.0,238.0,243.0,239.3333282470703,0
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000018.jpg,кошка\000018.jpg,кошка,249.0,238.0,233.0,240.0,1
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000013.jpg,кошка\000013.jpg,кошка,248.0,246.0,255.0,249.6666717529297,2
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000024.jpg,кошка\000024.jpg,кошка,249.0,246.0,255.0,250.0,3
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000019.jpg,кошка\000019.jpg,кошка,254.0,255.0,248.0,252.3333282470703,4
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000012.jpg,кошка\000012.jpg,кошка,250.0,255.0,255.0,253.3333282470703,5
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000008.jpg,кошка\000008.jpg,кошка,255.0,250.0,255.0,253.3333282470703,6
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\собака\000001.jpg,собака\000001.jpg,собака,253.0,252.0,255.0,253.3333282470703,7
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000021.jpg,кошка\000021.jpg,кошка,254.0,254.0,254.0,254.0,8
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000004.jpg,кошка\000004.jpg,кошка,254.0,255.0,255.0,254.6666717529297,9
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000016.jpg,кошка\000016.jpg,кошка,255.0,254.0,255.0,254.6666717529297,10
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000017.jpg,кошка\000017.jpg,кошка,255.0,254.0,255.0,254.6666717529297,11
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000002.jpg,кошка\000002.jpg,кошка,255.0,255.0,255.0,255.0,12
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000029.jpg,кошка\000029.jpg,кошка,255.0,255.0,255.0,255.0,13
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000028.jpg,кошка\000028.jpg,кошка,255.0,255.0,255.0,255.0,14
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000027.jpg,кошка\000027.jpg,кошка,255.0,255.0,255.0,255.0,15
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000026.jpg,кошка\000026.jpg,кошка,255.0,255.0,255.0,255.0,16
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000025.jpg,кошка\000025.jpg,кошка,255.0,255.0,255.0,255.0,17
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\собака\000002.jpg,собака\000002.jpg,собака,255.0,255.0,255.0,255.0,18
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000023.jpg,кошка\000023.jpg,кошка,255.0,255.0,255.0,255.0,19
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000022.jpg,кошка\000022.jpg,кошка,255.0,255.0,255.0,255.0,20
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000005.jpg,кошка\000005.jpg,кошка,255.0,255.0,255.0,255.0,21
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000020.jpg,кошка\000020.jpg,кошка,255.0,255.0,255.0,255.0,22
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\собака\000003.jpg,собака\000003.jpg,собака,255.0,255.0,255.0,255.0,23
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\собака\000004.jpg,собака\000004.jpg,собака,255.0,255.0,255.0,255.0,24
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000003.jpg,кошка\000003.jpg,кошка,255.0,255.0,255.0,255.0,25
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000006.jpg,кошка\000006.jpg,кошка,255.0,255.0,255.0,255.0,26
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000015.jpg,кошка\000015.jpg,кошка,255.0,255.0,255.0,255.0,27
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000014.jpg,кошка\000014.jpg,кошка,255.0,255.0,255.0,255.0,28
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\собака\000005.jpg,собака\000005.jpg,собака,255.0,255.0,255.0,255.0,29
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000001.jpg,кошка\000001.jpg,кошка,255.0,255.0,255.0,255.0,30
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000011.jpg,кошка\000011.jpg,кошка,255.0,255.0,255.0,255.0,31
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000010.jpg,кошка\000010.jpg,кошка,255.0,255.0,255.0,255.0,32
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000009.jpg,кошка\000009.jpg,кошка,255.0,255.0,255.0,255.0,33
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000007.jpg,кошка\000007.jpg,кошка,255.0,255.0,255.0,255.0,34
C:\Users\PC\application-programming-labs-2025\application-programming-labs-2025\images\кошка\000031.jpg,кошка\000031.jpg,кошка,255.0,255.0,255.0,255.0,35
